Classe;Slot;Tier;Mapa;Raridade;Cor;Nível;Tipo;Item;Origem 1;Material 1;Origem 2;Material 2;Origem 3;Material 3;Drop de mob;Resíduo de mob
Lutador;Armadura;1;Subúrbio Silencioso;Comum;Branco;0–10;Armadura;Armadura de Retalhos Pesados;Desmanche;Placa de Portão Leve;Coleta;Jaqueta Remendada;Contenção;Espuma Filtrante Suja;Osso Frágil Infectado;Resíduo Infecto Pálido
Lutador;Armadura;2;Distrito da Ferrugem;Comum;Branco;11–20;Armadura;Armadura de Placas Oxidadas;Desmanche;Lataria Enferrujada;Coleta;Colete de Operário Gasto;Contenção;Vedação de Oficina Oxidada;Costela Ressecada;Resíduo Infecto Pálido
Lutador;Armadura;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Armadura;Armadura de Maca Reforçada;Desmanche;Estrutura de Maca Dobrada;Coleta;Avental Hospitalar Grosso;Contenção;Placa de Isolamento Clínico;Costela Necrosada;Resíduo Infecto Amarelado
Lutador;Armadura;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Armadura;Armadura de Bagageiro Rebitado;Desmanche;Painel de Bagageiro Amassado;Coleta;Forro de Assento Rasgado;Contenção;Isolante de Cabine Elétrica;Escápula Calcificada;Resíduo Infecto Amarelado
Lutador;Armadura;5;Zona de Quarentena 9;Raro;Verde;41–50;Armadura;Armadura de Barreira Selada;Desmanche;Painel de Barreira Selada;Coleta;Colete Antimordida Rasgado;Contenção;Resina de Quarentena Verde;Placa Óssea Selada;Resíduo Infecto Tóxico
Lutador;Armadura;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Armadura;Armadura de Caldeira Cinzenta;Desmanche;Placa de Caldeira Pesada;Coleta;Manta Térmica Queimada;Contenção;Vedação de Vapor Cinzenta;Placa Óssea Carbonizada;Resíduo Infecto Tóxico
Lutador;Armadura;7;Avenida dos Caídos;Épico;Roxo;61–70;Armadura;Armadura de Barricada Mutagênica;Desmanche;Placa de Barricada de Aço;Coleta;Colete Tático Rasgado;Contenção;Cerâmica Balística Roxa;Costela Mutagênica;Resíduo Infecto Mutagênico
Lutador;Armadura;8;Complexo Helix;Épico;Roxo;71–80;Armadura;Armadura de Carcaça Helix;Desmanche;Carcaça Experimental Helix;Coleta;Revestimento de Polímero Helix;Contenção;Célula Cerâmica de Contenção;Placa Óssea Mutante;Resíduo Infecto Mutagênico
Lutador;Armadura;9;Necrópole Industrial;Lendário;Vermelho;81–90;Armadura;Armadura Titânica da Necrópole;Desmanche;Couraça Titânica Industrial;Coleta;Malha de Fibra Pesada;Contenção;Câmara de Vedação Carmesim;Costela Saturada;Resíduo Infecto Saturado
Lutador;Armadura;10;Marco Zero;Lendário;Vermelho;91–100;Armadura;Armadura do Marco Zero;Desmanche;Placas Titânicas do Marco;Coleta;Manta de Fibra Rubra;Contenção;Núcleo Rubro de Quarentena;Carapaça do Colapso;Resíduo Infecto Saturado
Lutador;Pernas;1;Subúrbio Silencioso;Comum;Branco;0–10;Grevas;Grevas de Tábua Remendada;Desmanche;Talas de Madeira Partida;Coleta;Retalho de Jeans Grosso;Contenção;Gaze Filtrante Suja;Rótula Frágil Infectada;Resíduo Infecto Pálido
Lutador;Pernas;2;Distrito da Ferrugem;Comum;Branco;11–20;Grevas;Grevas de Lataria Oxidada;Desmanche;Painel de Lataria Curvado;Coleta;Bainha de Uniforme Gasta;Contenção;Anel de Vedação Oxidado;Patela Ressecada;Resíduo Infecto Pálido
Lutador;Pernas;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Grevas;Grevas de Tala Clínica;Desmanche;Tala Metálica Hospitalar;Coleta;Acolchoado de Maca;Contenção;Manta de Isolamento Clínico;Tíbia Necrosada;Resíduo Infecto Amarelado
Lutador;Pernas;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Grevas;Grevas de Escada Rolante;Desmanche;Degrau de Escada Rolante;Coleta;Tapete de Embarque Desfiado;Contenção;Borracha Isolante de Terminal;Escápula Calcificada;Resíduo Infecto Amarelado
Lutador;Pernas;5;Zona de Quarentena 9;Raro;Verde;41–50;Grevas;Grevas de Câmara Selada;Desmanche;Aro de Câmara de Desinfecção;Coleta;Acolchoado Antimordida;Contenção;Cápsula de Resina Verde;Tíbia Selada Infectada;Resíduo Infecto Tóxico
Lutador;Pernas;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Grevas;Grevas de Duto Cinzento;Desmanche;Segmento de Duto Pesado;Coleta;Avental de Borracha Carbonizado;Contenção;Junta de Pressão Cinzenta;Osso Carbonizado;Resíduo Infecto Tóxico
Lutador;Pernas;7;Avenida dos Caídos;Épico;Roxo;61–70;Grevas;Grevas de Para-choque Tático;Desmanche;Para-choque Blindado Recortado;Coleta;Joelheira Tática Rasgada;Contenção;Placa Cerâmica de Canela;Rótula Mutagênica;Resíduo Infecto Mutagênico
Lutador;Pernas;8;Complexo Helix;Épico;Roxo;71–80;Grevas;Grevas de Articulação Helix;Desmanche;Articulação Mecânica Helix;Coleta;Revestimento de Polímero Articulado;Contenção;Selo Biocerâmico Helix;Placa Óssea Mutante;Resíduo Infecto Mutagênico
Lutador;Pernas;9;Necrópole Industrial;Lendário;Vermelho;81–90;Grevas;Grevas Titânicas da Necrópole;Desmanche;Placa Tibial Titânica;Coleta;Trama de Fibra Pesada;Contenção;Câmara Carmesim de Articulação;Placa Óssea Saturada;Resíduo Infecto Saturado
Lutador;Pernas;10;Marco Zero;Lendário;Vermelho;91–100;Grevas;Grevas de Marcha do Marco Zero;Desmanche;Segmento Titânico de Exoesqueleto;Coleta;Fibra Rubra Articulada;Contenção;Módulo de Contenção Articular;Vértebra do Colapso;Resíduo Infecto Saturado
Lutador;Pés;1;Subúrbio Silencioso;Comum;Branco;0–10;Botas;Botas de Obra Remendadas;Desmanche;Biqueira de Lata Amassada;Coleta;Couro de Bota Gasto;Contenção;Palmilha Filtrante Suja;Garra Frágil Infectada;Resíduo Infecto Pálido
Lutador;Pés;2;Distrito da Ferrugem;Comum;Branco;11–20;Botas;Botas de Ferrugem Cravada;Desmanche;Cravos de Ferro Oxidados;Coleta;Cadarço de Uniforme Gasto;Contenção;Vedação de Graxa Seca;Couro Ressecado;Resíduo Infecto Pálido
Lutador;Pés;3;Hospital Santa Ruína;Incomum;Amarelo;21–30;Botas;Botas de Enfermaria Seladas;Desmanche;Estribo de Leito Clínico;Coleta;Cobertura Cirúrgica Rasgada;Contenção;Película Antisséptica Rachada;Pele Necrosada;Resíduo Infecto Amarelado
Lutador;Pés;4;Terminal dos Esquecidos;Incomum;Amarelo;31–40;Botas;Botas de Esteira Quebrada;Desmanche;Rolete de Esteira de Bagagem;Coleta;Tapete de Piso Emborrachado;Contenção;Manta Isolante de Cabine;Garra Calcificada;Resíduo Infecto Amarelado
Lutador;Pés;5;Zona de Quarentena 9;Raro;Verde;41–50;Botas;Botas de Quarentena Selada;Desmanche;Reforço de Barreira Selada;Coleta;Manguito Antimordida;Contenção;Gel de Desinfecção Coagulado;Osso Selado Infectado;Resíduo Infecto Tóxico
Lutador;Pés;6;Refinaria do Pó Cinzento;Raro;Verde;51–60;Botas;Botas de Cinza Industrial;Desmanche;Placa de Piso de Refinaria;Coleta;Sola de Borracha Vulcanizada;Contenção;Pasta de Vedação Cinzenta;Osso Carbonizado;Resíduo Infecto Tóxico
Lutador;Pés;7;Avenida dos Caídos;Épico;Roxo;61–70;Botas;Botas de Asfalto Mutagênico;Desmanche;Pedal de Viatura Blindada;Coleta;Reforço de Polímero de Tornozelo;Contenção;Inserto Cerâmico Roxo;Garra Mutagênica;Resíduo Infecto Mutagênico
Lutador;Pés;8;Complexo Helix;Épico;Roxo;71–80;Botas;Botas de Tração Helix;Desmanche;Junta Mecânica Helix;Coleta;Revestimento de Polímero Translúcido;Contenção;Cartucho Cerâmico Helix;Nervo Biomecânico Mutante;Resíduo Infecto Mutagênico
