tier;mapa;submapa;mobName;itemName;tipoDrop;familia;raridade;dropChance;minQuantity;maxQuantity;uso
1;Subúrbio Silencioso;Rua das Cercas;Errante do Subúrbio;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Rua das Cercas;Errante do Subúrbio;Biomaterial Cortante Comum;BIOMATERIAL;Biomaterial Cortante;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Rua das Cercas;Rato de Lixeira Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Rua das Cercas;Rato de Lixeira Infectado;Biomaterial de Mobilidade Comum;BIOMATERIAL;Biomaterial de Mobilidade;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Rua das Cercas;Cão de Rua Infectado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Rua das Cercas;Cão de Rua Infectado;Biomaterial de Mobilidade Comum;BIOMATERIAL;Biomaterial de Mobilidade;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Rua das Cercas;Gato de Telhado Contaminado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Rua das Cercas;Gato de Telhado Contaminado;Biomaterial Cortante Comum;BIOMATERIAL;Biomaterial Cortante;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Quintais Abandonados;Rastejante de Garagem;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Quintais Abandonados;Rastejante de Garagem;Biomaterial Articular Comum;BIOMATERIAL;Biomaterial Articular;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Quintais Abandonados;Morador do Quintal;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Quintais Abandonados;Morador do Quintal;Biomaterial Torácico Comum;BIOMATERIAL;Biomaterial Torácico;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Quintais Abandonados;Gambá de Entulho Contaminado;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
1;Subúrbio Silencioso;Quintais Abandonados;Gambá de Entulho Contaminado;Biomaterial Reativo Comum;BIOMATERIAL;Biomaterial Reativo;Comum;35;1;1;Crafting por família de slot
1;Subúrbio Silencioso;Quintais Abandonados;Morcego de Caixa d’Água;Resíduo Infecto Pálido;RESIDUO;Resíduo Infecto;Comum;45;1;2;Crafting por faixa de tier
